suburb,date,price
Forde,2011-01-04,268000
Curtin,2011-01-04,290000
Casey,2011-01-04,221000
Monash,2011-01-05,440000
Gordon,2011-01-05,600000
Kambah,2011-01-05,570000
Chisholm,2011-01-05,447000
Rivett,2011-01-05,500000
Bonner,2011-01-06,512500
Forde,2011-01-06,705500
Casey,2011-01-07,154150
McKellar,2011-01-07,505000
Casey,2011-01-07,156150
Casey,2011-01-08,212000
Duffy,2011-01-10,522500
Crace,2011-01-10,230500
Lyons,2011-01-10,675000
Melba,2011-01-10,460000
Ngunnawal,2011-01-10,438000
Crace,2011-01-10,291000
Florey,2011-01-11,520000
Melba,2011-01-11,525000
Fraser,2011-01-11,58000
Monash,2011-01-11,439950
Higgins,2011-01-11,410000
Harrison,2011-01-11,579000
Scullin,2011-01-11,436000
Aranda,2011-01-11,720000
Torrens,2011-01-11,697000
Yarralumla,2011-01-11,950000
Crace,2011-01-11,247500
Spence,2011-01-11,445000
Gowrie,2011-01-11,465000
Ngunnawal,2011-01-12,529000
Melba,2011-01-12,510000
Casey,2011-01-12,330000
Dunlop,2011-01-12,468913
Harrison,2011-01-12,555000
Forde,2011-01-12,338000
Waramanga,2011-01-12,272500
Narrabundah,2011-01-12,700000
Fadden,2011-01-12,560000
Casey,2011-01-12,545000
Conder,2011-01-12,230000
Gordon,2011-01-12,520000
Watson,2011-01-12,424900
Holder,2011-01-12,465000
Crace,2011-01-12,270500
Watson,2011-01-13,910000
Kambah,2011-01-13,421000
Page,2011-01-13,470000
Casey,2011-01-13,242500
Casey,2011-01-13,240000
Downer,2011-01-13,552000
Fisher,2011-01-13,520000
Melba,2011-01-13,422000
Amaroo,2011-01-13,500000
Nicholls,2011-01-13,702000
Torrens,2011-01-13,680000
Gordon,2011-01-13,815000
Casey,2011-01-13,265000
Crace,2011-01-14,262500
Dickson,2011-01-14,520000
Downer,2011-01-14,632001
Isabella Plains,2011-01-14,495000
Chifley,2011-01-14,555000
Spence,2011-01-14,560000
Melba,2011-01-14,485000
Holt,2011-01-14,440000
Forde,2011-01-14,430000
Holt,2011-01-14,470000
Higgins,2011-01-14,417000
Torrens,2011-01-15,553000
Casey,2011-01-15,187000
Charnwood,2011-01-15,505000
Red Hill,2011-01-15,834000
Casey,2011-01-15,216000
