suburb,type,rent,value,oldRent,oldValue,changeRent,changeValue
ACT Remainder - Belconnen,houses,680,555452.807,#N/A,#N/A,#N/A,#N/A
ACT Remainder - Gungahlin,houses,680,739747.7561,695,388683.1232,-0.021582734,0.903215529
Ainslie,houses,700,1204674.692,695,978682.0081,0.007194245,0.230915335
Amaroo (ACT),houses,585,819184.6627,572.5,705350.9666,0.021834061,0.161385894
Aranda,houses,635,1208681.57,650,951922.2373,-0.023076923,0.269727214
Banks,houses,500,679733.8581,455,541280.2843,0.098901099,0.255789058
Bonner,houses,555,783028.8625,600,674874.2053,-0.075,0.160258988
Bonython,houses,525,763314.7116,520,677608.6778,0.009615385,0.126483082
Bruce (ACT),houses,627.5,1014150.657,630,757208.5976,-0.003968254,0.339327974
Calwell,houses,545,686448.2511,492.5,584340.9992,0.106598985,0.174739154
Campbell,houses,750,1452593.518,775,1105969.243,-0.032258065,0.31341222
Casey,houses,550,792372.9215,570,687718.7755,-0.035087719,0.152175787
Chapman,houses,750,1090487.396,677.5,916004.2749,0.10701107,0.190482868
Charnwood,houses,485,565104.9841,465,453524.2738,0.043010753,0.246030294
Chifley (ACT),houses,620,851895.9738,630,798265.1598,-0.015873016,0.06718421
Chisholm (ACT),houses,550,630002.3967,500,525358.9145,0.1,0.199184746
Conder,houses,550,715247.0869,500,643701.0869,0.1,0.111147863
Cook,houses,500,854297.4941,525,742422.6242,-0.047619048,0.150688929
Coombs,houses,720,820069.7388,700,713283.3111,0.028571429,0.149711098
Crace,houses,600,906653.9689,610,796943.8094,-0.016393443,0.137663607
Curtin,houses,625,1040092.398,620,920594.7938,0.008064516,0.12980478
Deakin,houses,920,1613729.754,800,1145876.982,0.15,0.408292321
Denman Prospect,houses,895,892669.6531,912.5,780267.5513,-0.019178082,0.144055845
Dickson,houses,635,962221.1199,550,767323.3161,0.154545455,0.253996978
Downer,houses,600,930930.0188,560,774886.1275,0.071428571,0.201376545
Duffy,houses,570,842703.1673,550,680555.463,0.036363636,0.238257884
Dunlop,houses,570,713414.0874,530,587153.9151,0.075471698,0.215037606
Evatt,houses,535,681307.3369,500,567812.3199,0.07,0.199881216
Fadden,houses,622.5,914601.4217,675,745902.1836,-0.077777778,0.226168044
Farrer,houses,660,1075759.48,650,921332.705,0.015384615,0.167612389
Fisher (ACT),houses,560,746219.6051,520,619066.2196,0.076923077,0.205395451
Florey,houses,520,739551.4712,480,592631.301,0.083333333,0.247911594
Flynn (ACT),houses,560,782374.9414,590,601829.7434,-0.050847458,0.299993811
Forde,houses,630,931995.0926,650,810979.471,-0.030769231,0.14922156
Forrest (ACT),houses,1050,3261521.928,#N/A,#N/A,#N/A,#N/A
Franklin (ACT),houses,650,867546.5265,615,732394.4786,0.056910569,0.184534499
Fraser,houses,625,814469.0949,585,668581.3395,0.068376068,0.218204946
Garran,houses,700,1308298.042,715,1033972.268,-0.020979021,0.265312506
Gilmore (ACT),houses,560,688101.784,580,573579.4095,-0.034482759,0.199662632
Giralang,houses,550,726278.3493,505,642438.5426,0.089108911,0.130502455
Gordon (ACT),houses,525,750461.862,510,641601.1894,0.029411765,0.16967031
Gowrie (ACT),houses,620,784317.8992,560,641541.5862,0.107142857,0.222551922
Griffith (ACT),houses,720,1800341.626,800,1433132.691,-0.1,0.256228148
Gungahlin,houses,570,843872.6988,580,731003.3098,-0.017241379,0.15440339
Hackett,houses,650,1046429.343,650,782081.7878,0,0.338005
Harrison,houses,650,844495.5742,620,751252.0484,0.048387097,0.1241175
Hawker (ACT),houses,620,1006878.277,597.5,732931.9528,0.037656904,0.373767746
Higgins,houses,540,639172.2379,500,513984.5548,0.08,0.243563123
Holder (ACT),houses,597.5,731089.4001,597.5,612453.6252,0,0.193705727
Holt,houses,530,587881.6423,472.5,468543.634,0.121693122,0.254699882
Hughes (ACT),houses,650,1199754.524,640,988726.2637,0.015625,0.213434464
Isaacs,houses,725,1101994.634,680,878335.0387,0.066176471,0.25464041
Isabella Plains,houses,515,620958.9062,500,519181.7011,0.03,0.196033883
Kaleen,houses,550,841111.1093,545,688428.3428,0.009174312,0.221784545
Kambah,houses,550,654823.9482,500,516746.4393,0.1,0.267205535
Latham (ACT),houses,525,619416.5255,500,513115.1146,0.05,0.207168738
Lawson (ACT),houses,675,1001834.108,#N/A,#N/A,#N/A,#N/A
Lyneham,houses,650,899548.4527,645,698467.6811,0.007751938,0.287888441
Lyons (ACT),houses,650,878619.3772,597.5,816655.4256,0.087866109,0.075875271
Macarthur (ACT),houses,580,810617.0215,520,701447.8044,0.115384615,0.155634128
Macgregor (ACT),houses,520,624651.2794,500,515253.9204,0.04,0.212317373
Macquarie,houses,550,790815.4251,550,626898.6465,0,0.261472535
Mawson,houses,580,952006.8345,555,742908.9718,0.045045045,0.281458255
McKellar,houses,620,811616.5857,555,706465.1647,0.117117117,0.148841622
Melba,houses,550,716406.1122,530,558828.3939,0.037735849,0.281978726
Monash (ACT),houses,560,787483.8275,540,666569.4543,0.037037037,0.181398011
Moncrieff,houses,680,843886.4212,670,637456.6446,0.014925373,0.323833438
Narrabundah,houses,650,1097691.898,600,969205.9089,0.083333333,0.13256831
Ngunnawal,houses,520,643227.759,480,512921.294,0.083333333,0.25404768
Nicholls,houses,607.5,990968.3527,650,836697.6571,-0.065384615,0.184380456
O'Connor (ACT),houses,650,1241863.961,590,1014233.273,0.101694915,0.224436225
O'Malley,houses,1950,1618541.298,#N/A,#N/A,#N/A,#N/A
Oxley (ACT),houses,627.5,792793.792,530,642175.3203,0.183962264,0.234544161
Page,houses,500,714064.9868,490,610333.433,0.020408163,0.169958826
Palmerston (ACT),houses,550,845521.6241,530,693313.3475,0.037735849,0.219537496
Pearce,houses,622.5,1073287.088,595,822030.1708,0.046218487,0.30565413
Phillip,houses,500,580864.7755,505,472823.4272,-0.00990099,0.228502528
Red Hill (ACT),houses,900,1705603.029,860,1381917.524,0.046511628,0.23422925
Reid (ACT),houses,770,1723837.575,#N/A,#N/A,#N/A,#N/A
Richardson,houses,500,617279.243,450,503463.8192,0.111111111,0.226064753
Rivett,houses,545,681856.2985,520,578225.6812,0.048076923,0.179221748
Scullin,houses,560,613618.8619,490,553741.577,0.142857143,0.108132182
Spence (ACT),houses,525,661285.4276,515,544363.996,0.019417476,0.214785387
Stirling (ACT),houses,610,858519.1062,550,739865.7722,0.109090909,0.160371433
Theodore (ACT),houses,520,628287.1771,450,529467.592,0.155555556,0.186639535
Throsby,houses,690,837810.5952,642.5,676419.5879,0.073929961,0.238595999
Torrens,houses,590,862863.3239,620,802031.9092,-0.048387097,0.075846627
Wanniassa,houses,560,707796.1947,520,577171.1572,0.076923077,0.226319413
Waramanga,houses,540,725202.3882,530,650446.7288,0.018867925,0.114929718
Watson,houses,550,846440.935,540,741698.3333,0.018518519,0.14121995
Weetangera,houses,700,1075642.463,600,835477.136,0.166666667,0.287458886
Weston (ACT),houses,600,809723.8686,550,680314.3352,0.090909091,0.190220207
Wright,houses,800,815584.8316,765,721559.038,0.045751634,0.130309217
Yarralumla,houses,875,1623844.486,820,1304563.267,0.067073171,0.244741844
Amaroo (ACT),units,505,576215.2153,485,523044.0484,0.041237113,0.101657149
Banks,units,450,439871.3839,430,414583.3421,0.046511628,0.06099628
Barton,units,550,578542.1352,580,530273.0075,-0.051724138,0.091026937
Belconnen,units,455,402161.8561,410,361788.7902,0.109756098,0.111592916
Bonner,units,505,513665.3381,472.5,468524.7053,0.068783069,0.096346323
Bonython,units,490,531688.2937,470,472416.4282,0.042553191,0.125465293
Braddon,units,500,450345.6396,490,431753.33,0.020408163,0.043062342
Bruce (ACT),units,450,461501.512,420,428734.8939,0.071428571,0.076426292
Calwell,units,465,425977.3234,430,401798.4312,0.081395349,0.060176671
Campbell,units,590,546378.3883,550,492053.0406,0.072727273,0.110405471
Casey,units,480,523445.2038,450,456908.609,0.066666667,0.145623421
Chifley (ACT),units,465,349516.0908,400,318919.1977,0.1625,0.095939327
City,units,580,518651.722,600,500663.8199,-0.033333333,0.035928105
Conder,units,470,514509.5367,425,418298.9791,0.105882353,0.230004285
Cook,units,470,612137.6748,450,495666.2152,0.044444444,0.234979621
Coombs,units,510,510985.8073,515,471231.3728,-0.009708738,0.084362877
Crace,units,460,427004.786,420,380694.7995,0.095238095,0.121645966
Curtin,units,375,321852.4608,#N/A,#N/A,#N/A,#N/A
Deakin,units,595,764752.1595,675,748056.6829,-0.118518519,0.022318465
Denman Prospect,units,530,635092.1745,#N/A,#N/A,#N/A,#N/A
Dickson,units,520,458561.1536,420,411778.9292,0.238095238,0.113610049
Downer,units,460,544577.9505,#N/A,#N/A,#N/A,#N/A
Dunlop,units,510,519051.4542,#N/A,#N/A,#N/A,#N/A
Fisher (ACT),units,320,410978.1719,#N/A,#N/A,#N/A,#N/A
Florey,units,480,459846.3522,440,422562.9099,0.090909091,0.088231696
Forrest (ACT),units,580,645037.1706,595,717247.4482,-0.025210084,-0.100676939
Franklin (ACT),units,450,409399.4817,430,383016.9932,0.046511628,0.068880726
Garran,units,560,741395.0807,550,602587.8892,0.018181818,0.230351778
Gordon (ACT),units,460,461308.3634,425,405346.7867,0.082352941,0.138058518
Greenway,units,450,431031.9532,430,383401.2116,0.046511628,0.12423211
Griffith (ACT),units,500,516560.2143,460,467534.0849,0.086956522,0.104861081
Gungahlin,units,460,385025.7352,450,368546.6746,0.022222222,0.044713633
Harrison,units,460,421406.9095,440,395270.8595,0.045454545,0.066121874
Hawker (ACT),units,400,377331.3113,360,330501.0288,0.111111111,0.141694816
Holder (ACT),units,497.5,507848.4291,470,467047.9226,0.058510638,0.087358287
Holt,units,420,427309.6233,380,381063.8972,0.105263158,0.121359505
Hughes (ACT),units,380,261827.2913,#N/A,#N/A,#N/A,#N/A
Isaacs,units,550,695063.4837,#N/A,#N/A,#N/A,#N/A
Isabella Plains,units,450,486836.3386,420,401248.7928,0.071428571,0.213302937
Kambah,units,440,492296.4336,420,406142.4262,0.047619048,0.212127574
Kingston (ACT),units,540,582336.8037,530,534204.8583,0.018867925,0.090100164
Lawson (ACT),units,550,551870.8127,525,458528.0551,0.047619048,0.203570439
Lyneham,units,470,409354.8693,435,412309.2108,0.08045977,-0.007165354
Lyons (ACT),units,405,313448.717,380,323630.5765,0.065789474,-0.031461364
Macquarie,units,405,470063.4408,397.5,381090.6821,0.018867925,0.233468733
Mawson,units,395,433983.0741,388,357240.3446,0.018041237,0.214821004
Melba,units,450,450372.0691,415,460501.6707,0.084337349,-0.021996883
Monash (ACT),units,495,497639.3579,460,455950.4945,0.076086957,0.091432872
Moncrieff,units,490,527136.5009,490,504489.409,0,0.044891115
Narrabundah,units,485,450402.508,460,460565.1931,0.054347826,-0.022065682
Ngunnawal,units,450,490990.4367,440,423521.1869,0.022727273,0.159305489
Nicholls,units,520,643786.1108,510,567991.1373,0.019607843,0.133443937
O'Connor (ACT),units,460,461673.5711,462.5,457914.3293,-0.005405405,0.008209487
Page,units,445,459323.4724,470,442684.7103,-0.053191489,0.037586033
Palmerston (ACT),units,467.5,495353.853,450,444539.7058,0.038888889,0.114307331
Pearce,units,520,532897.039,430,457145.9872,0.209302326,0.165704291
Phillip,units,470,413650.372,420,335330.0871,0.119047619,0.233561759
Reid (ACT),units,480,489883.3703,430,448031.6428,0.11627907,0.093412437
