date,price
2011-01-04,268000
2011-01-04,290000
2011-01-04,221000
2011-01-05,440000
2011-01-05,600000
2011-01-05,570000
2011-01-05,447000
2011-01-05,500000
2011-01-06,512500
2011-01-06,705500
2011-01-07,154150
2011-01-07,505000
2011-01-07,156150
2011-01-08,212000
2011-01-10,522500
2011-01-10,230500
2011-01-10,675000
2011-01-10,460000
2011-01-10,438000
2011-01-10,291000
2011-01-11,520000
2011-01-11,525000
2011-01-11,58000
2011-01-11,439950
2011-01-11,410000
2011-01-11,579000
2011-01-11,436000
2011-01-11,720000
2011-01-11,697000
2011-01-11,950000
2011-01-11,247500
2011-01-11,445000
2011-01-11,465000
2011-01-12,529000
2011-01-12,510000
2011-01-12,330000
2011-01-12,468913
2011-01-12,555000
2011-01-12,338000
2011-01-12,272500
2011-01-12,700000
2011-01-12,560000
2011-01-12,545000
2011-01-12,230000
2011-01-12,520000
2011-01-12,424900
2011-01-12,465000
2011-01-12,270500
2011-01-13,910000
2011-01-13,421000
2011-01-13,470000
2011-01-13,242500
2011-01-13,240000
2011-01-13,552000
2011-01-13,520000
2011-01-13,422000
2011-01-13,500000
2011-01-13,702000
2011-01-13,680000
2011-01-13,815000
2011-01-13,265000
2011-01-14,262500
2011-01-14,520000
2011-01-14,632001
2011-01-14,495000
2011-01-14,555000
2011-01-14,560000
2011-01-14,485000
2011-01-14,440000
2011-01-14,430000
2011-01-14,470000
2011-01-14,417000
2011-01-15,553000
2011-01-15,187000
2011-01-15,505000
2011-01-15,834000
2011-01-15,216000
2011-01-15,446000
2011-01-15,860000
2011-01-15,620000
2011-01-15,212000
2011-01-16,525000
2011-01-17,452500
2011-01-17,569000
2011-01-17,439990
2011-01-17,485500
2011-01-17,608800
2011-01-17,299000
2011-01-17,348000
2011-01-17,316000
2011-01-17,324000
2011-01-17,320000
2011-01-17,325000
2011-01-17,277000
2011-01-17,300000
2011-01-17,790000
2011-01-17,240000
2011-01-17,425050
2011-01-17,860000
2011-01-17,276000
2011-01-17,344000
2011-01-17,240000
2011-01-18,476000
2011-01-18,661000
2011-01-18,2060000
2011-01-18,645000
2011-01-18,593000
2011-01-18,300000
2011-01-18,618000
2011-01-18,460000
2011-01-18,410000
2011-01-18,939000
2011-01-19,552000
2011-01-19,229000
2011-01-19,550000
2011-01-19,825000
2011-01-19,600000
2011-01-19,668000
2011-01-19,380000
2011-01-19,416000
2011-01-19,210000
2011-01-19,275000
2011-01-19,460000
2011-01-19,260000
2011-01-19,264000
2011-01-19,630000
2011-01-19,423000
2011-01-19,770000
2011-01-19,221000
2011-01-20,517000
2011-01-20,475000
2011-01-20,224000
2011-01-20,221000
2011-01-20,270000
2011-01-20,545000
2011-01-20,418330
2011-01-20,1060000
2011-01-20,260000
2011-01-20,262500
2011-01-20,256000
2011-01-20,350000
2011-01-20,220000
2011-01-20,240000
2011-01-20,508000
2011-01-20,405000
2011-01-20,257500
2011-01-20,250000
2011-01-20,277500
2011-01-20,2271000
2011-01-21,605000
2011-01-21,560000
2011-01-21,485000
2011-01-21,670000
2011-01-21,252500
2011-01-21,240000
2011-01-21,580000
2011-01-21,300000
2011-01-21,405000
2011-01-21,489000
2011-01-21,530000
2011-01-21,468000
2011-01-21,287500
2011-01-22,560000
2011-01-22,430000
2011-01-24,484100
2011-01-24,416000
2011-01-24,550000
2011-01-24,705000
2011-01-24,400000
2011-01-24,438000
2011-01-24,252500
2011-01-24,1300000
2011-01-24,262500
2011-01-24,588000
2011-01-25,341000
2011-01-25,519950
2011-01-25,679000
2011-01-25,260000
2011-01-25,305000
2011-01-25,231000
2011-01-25,465000
2011-01-25,445000
2011-01-25,477000
2011-01-25,255000
2011-01-25,580000
2011-01-25,710000
2011-01-25,631500
2011-01-25,575000
2011-01-25,216000
2011-01-25,429900
2011-01-25,449000
2011-01-25,277500
2011-01-25,200000
2011-01-25,465000
2011-01-25,430000
2011-01-25,435000
2011-01-25,240000
2011-01-27,420000
2011-01-27,221000
2011-01-27,540000
2011-01-27,567500
2011-01-27,701000
2011-01-27,440000
2011-01-27,307500
2011-01-28,530000
2011-01-28,700000
2011-01-28,480000
2011-01-28,453000
2011-01-28,430000
2011-01-28,209900
2011-01-28,520000
2011-01-28,680000
2011-01-28,568500
2011-01-28,545000
2011-01-28,820000
2011-01-28,567000
2011-01-30,360000
2011-01-31,410000
2011-01-31,535000
2011-01-31,406500
2011-01-31,265000
2011-01-31,180800
2011-01-31,445000
2011-01-31,490000
2011-01-31,270000
2011-01-31,385000
2011-01-31,574500
2011-01-31,285000
2011-01-31,427000
2011-01-31,255000
2011-02-01,480000
2011-02-01,120000
2011-02-01,156150
2011-02-01,575000
2011-02-01,715000
2011-02-01,420000
2011-02-01,510000
2011-02-01,601000
2011-02-01,525000
2011-02-01,1050000
2011-02-01,820000
2011-02-01,160000
2011-02-02,320000
2011-02-02,586000
2011-02-02,215000
2011-02-02,295000
2011-02-02,315000
2011-02-02,295000
2011-02-02,970000
2011-02-02,255000
2011-02-02,510012
2011-02-02,575000
2011-02-02,414000
2011-02-02,480500
2011-02-02,588500
2011-02-02,525000
2011-02-02,260000
2011-02-02,561000
2011-02-02,950000
2011-02-02,260000
2011-02-02,265000
2011-02-02,270000
2011-02-02,415000
2011-02-02,267000
2011-02-03,240000
2011-02-03,465000
2011-02-03,715000
2011-02-03,335000
2011-02-03,470000
2011-02-03,587500
2011-02-03,760000
2011-02-03,430000
2011-02-03,570000
2011-02-03,269000
2011-02-03,389000
2011-02-03,625000
2011-02-03,250000
2011-02-03,441000
2011-02-03,24000
2011-02-04,350000
2011-02-04,405000
2011-02-04,460000
2011-02-04,460000
2011-02-04,230000
2011-02-04,535000
2011-02-04,545000
2011-02-04,550000
2011-02-04,250000
2011-02-04,510000
2011-02-04,610000
2011-02-04,550000
2011-02-04,550000
2011-02-04,770000
2011-02-04,660000
2011-02-04,720000
2011-02-05,580000
2011-02-05,1250000
2011-02-05,212780
2011-02-05,1035000
2011-02-05,670000
2011-02-05,482000
2011-02-05,590000
2011-02-05,400000
2011-02-05,607000
2011-02-05,241000
2011-02-05,620000
2011-02-05,230000
2011-02-05,450000
2011-02-05,1020000
2011-02-05,888000
2011-02-05,541000
2011-02-06,572150
2011-02-07,290000
2011-02-07,499000
2011-02-07,478000
2011-02-07,240000
2011-02-07,505000
2011-02-07,391000
2011-02-07,630000
2011-02-07,435000
2011-02-07,485000
2011-02-07,605000
2011-02-08,540000
2011-02-08,565000
2011-02-08,480000
2011-02-08,154150
2011-02-08,560000
2011-02-08,240000
2011-02-08,544000
2011-02-08,490500
2011-02-08,540000
2011-02-08,273500
2011-02-08,1740000
2011-02-08,477000
2011-02-08,625000
2011-02-08,497500
2011-02-08,465000
2011-02-08,468000
2011-02-08,900000
2011-02-08,438000
2011-02-09,616000
2011-02-09,600000
2011-02-09,462000
2011-02-09,515000
2011-02-09,690000
2011-02-09,425000
2011-02-09,842000
2011-02-09,520000
2011-02-09,425000
2011-02-09,670000
2011-02-09,900000
2011-02-09,200000
2011-02-09,360000
2011-02-09,720000
2011-02-09,459000
2011-02-09,695000
2011-02-09,662500
2011-02-09,475000
2011-02-10,650000
2011-02-10,622000
2011-02-10,648000
2011-02-10,539000
2011-02-10,700000
2011-02-10,420000
2011-02-10,530000
2011-02-10,546720
2011-02-10,458280
2011-02-10,315000
2011-02-10,585000
2011-02-10,410000
2011-02-10,294000
2011-02-10,505000
2011-02-10,625000
2011-02-10,461000
2011-02-10,620000
2011-02-10,380000
2011-02-10,600000
2011-02-11,550000
2011-02-11,220000
2011-02-11,650000
2011-02-11,605000
2011-02-11,605000
2011-02-11,415000
2011-02-11,850000
2011-02-11,583500
2011-02-11,440000
2011-02-11,820000
2011-02-11,522000
2011-02-11,520000
2011-02-11,730000
2011-02-11,705000
2011-02-11,652000
2011-02-11,768000
2011-02-11,529950
2011-02-11,500000
2011-02-11,602000
2011-02-11,233000
2011-02-12,975000
2011-02-12,265000
2011-02-12,456000
2011-02-12,735000
2011-02-12,470000
2011-02-12,225000
2011-02-12,1220000
2011-02-12,926000
2011-02-12,1000000
2011-02-12,717250
2011-02-13,240000
2011-02-14,210000
2011-02-14,225000
2011-02-14,445000
